 v-sweep         v(vin)          v(vout)        
 4.01000000e-01  4.01000000e-01  1.48660328e+00 
 4.02000000e-01  4.02000000e-01  1.48645265e+00 
 4.03000000e-01  4.03000000e-01  1.48630082e+00 
 4.04000000e-01  4.04000000e-01  1.48614779e+00 
 4.05000000e-01  4.05000000e-01  1.48599355e+00 
 4.06000000e-01  4.06000000e-01  1.48583810e+00 
 4.07000000e-01  4.07000000e-01  1.48568143e+00 
 4.08000000e-01  4.08000000e-01  1.48552354e+00 
 4.09000000e-01  4.09000000e-01  1.48536442e+00 
 4.10000000e-01  4.10000000e-01  1.48520406e+00 
 4.11000000e-01  4.11000000e-01  1.48504245e+00 
 4.12000000e-01  4.12000000e-01  1.48487959e+00 
 4.13000000e-01  4.13000000e-01  1.48471547e+00 
 4.14000000e-01  4.14000000e-01  1.48455009e+00 
 4.15000000e-01  4.15000000e-01  1.48438344e+00 
 4.16000000e-01  4.16000000e-01  1.48421551e+00 
 4.17000000e-01  4.17000000e-01  1.48404630e+00 
 4.18000000e-01  4.18000000e-01  1.48387579e+00 
 4.19000000e-01  4.19000000e-01  1.48370398e+00 
 4.20000000e-01  4.20000000e-01  1.48353087e+00 
 4.21000000e-01  4.21000000e-01  1.48335645e+00 
 4.22000000e-01  4.22000000e-01  1.48318071e+00 
 4.23000000e-01  4.23000000e-01  1.48300364e+00 
 4.24000000e-01  4.24000000e-01  1.48282523e+00 
 4.25000000e-01  4.25000000e-01  1.48264549e+00 
 4.26000000e-01  4.26000000e-01  1.48246440e+00 
 4.27000000e-01  4.27000000e-01  1.48228195e+00 
 4.28000000e-01  4.28000000e-01  1.48209814e+00 
 4.29000000e-01  4.29000000e-01  1.48191296e+00 
 4.30000000e-01  4.30000000e-01  1.48172640e+00 
 4.31000000e-01  4.31000000e-01  1.48153846e+00 
 4.32000000e-01  4.32000000e-01  1.48134913e+00 
 4.33000000e-01  4.33000000e-01  1.48115840e+00 
 4.34000000e-01  4.34000000e-01  1.48096626e+00 
 4.35000000e-01  4.35000000e-01  1.48077270e+00 
 4.36000000e-01  4.36000000e-01  1.48057772e+00 
 4.37000000e-01  4.37000000e-01  1.48038131e+00 
 4.38000000e-01  4.38000000e-01  1.48018347e+00 
 4.39000000e-01  4.39000000e-01  1.47998417e+00 
 4.40000000e-01  4.40000000e-01  1.47978343e+00 
 4.41000000e-01  4.41000000e-01  1.47958122e+00 
 4.42000000e-01  4.42000000e-01  1.47937754e+00 
 4.43000000e-01  4.43000000e-01  1.47917238e+00 
 4.44000000e-01  4.44000000e-01  1.47896574e+00 
 4.45000000e-01  4.45000000e-01  1.47875760e+00 
 4.46000000e-01  4.46000000e-01  1.47854796e+00 
 4.47000000e-01  4.47000000e-01  1.47833681e+00 
 4.48000000e-01  4.48000000e-01  1.47812413e+00 
 4.49000000e-01  4.49000000e-01  1.47790993e+00 
 4.50000000e-01  4.50000000e-01  1.47769420e+00 
 4.51000000e-01  4.51000000e-01  1.47747691e+00 
 4.52000000e-01  4.52000000e-01  1.47725808e+00 
 4.53000000e-01  4.53000000e-01  1.47703768e+00 
 4.54000000e-01  4.54000000e-01  1.47681570e+00 
 4.55000000e-01  4.55000000e-01  1.47659215e+00 
 4.56000000e-01  4.56000000e-01  1.47636701e+00 
 4.57000000e-01  4.57000000e-01  1.47614027e+00 
 4.58000000e-01  4.58000000e-01  1.47591192e+00 
 4.59000000e-01  4.59000000e-01  1.47568196e+00 
 4.60000000e-01  4.60000000e-01  1.47545036e+00 
 4.61000000e-01  4.61000000e-01  1.47521714e+00 
 4.62000000e-01  4.62000000e-01  1.47498226e+00 
 4.63000000e-01  4.63000000e-01  1.47474574e+00 
 4.64000000e-01  4.64000000e-01  1.47450754e+00 
 4.65000000e-01  4.65000000e-01  1.47426768e+00 
 4.66000000e-01  4.66000000e-01  1.47402613e+00 
 4.67000000e-01  4.67000000e-01  1.47378288e+00 
 4.68000000e-01  4.68000000e-01  1.47353794e+00 
 4.69000000e-01  4.69000000e-01  1.47329128e+00 
 4.70000000e-01  4.70000000e-01  1.47304289e+00 
 4.71000000e-01  4.71000000e-01  1.47279277e+00 
 4.72000000e-01  4.72000000e-01  1.47254091e+00 
 4.73000000e-01  4.73000000e-01  1.47228729e+00 
 4.74000000e-01  4.74000000e-01  1.47203191e+00 
 4.75000000e-01  4.75000000e-01  1.47177475e+00 
 4.76000000e-01  4.76000000e-01  1.47151580e+00 
 4.77000000e-01  4.77000000e-01  1.47125506e+00 
 4.78000000e-01  4.78000000e-01  1.47099251e+00 
