 time            v(vin)          v(vout)        
 2.49155000e-04  7.59999859e-01  3.38423022e-01 
 2.50155000e-04  7.59999995e-01  3.38421747e-01 
 2.51155000e-04  7.59999737e-01  3.38424018e-01 
 2.52155000e-04  7.59999083e-01  3.38429837e-01 
 2.53155000e-04  7.59998035e-01  3.38439203e-01 
 2.54155000e-04  7.59996592e-01  3.38452118e-01 
 2.54280000e-04  7.59996384e-01  3.38453985e-01 
 2.54530000e-04  7.59995950e-01  3.38457878e-01 
 2.55030000e-04  7.59995006e-01  3.38466332e-01 
 2.56030000e-04  7.59992824e-01  3.38485903e-01 
 2.57030000e-04  7.59990246e-01  3.38509031e-01 
 2.58030000e-04  7.59987275e-01  3.38535707e-01 
 2.59030000e-04  7.59983909e-01  3.38565943e-01 
 2.60030000e-04  7.59980149e-01  3.38599746e-01 
 2.61030000e-04  7.59975995e-01  3.38637105e-01 
 2.62030000e-04  7.59971447e-01  3.38678021e-01 
 2.63030000e-04  7.59966505e-01  3.38722514e-01 
 2.64030000e-04  7.59961170e-01  3.38770580e-01 
 2.65030000e-04  7.59955442e-01  3.38822223e-01 
 2.66030000e-04  7.59949321e-01  3.38877448e-01 
 2.67030000e-04  7.59942807e-01  3.38936259e-01 
 2.67155000e-04  7.59941965e-01  3.38943884e-01 
 2.67405000e-04  7.59940263e-01  3.38959261e-01 
 2.67905000e-04  7.59936785e-01  3.38990682e-01 
 2.68905000e-04  7.59929535e-01  3.39056214e-01 
 2.69905000e-04  7.59921893e-01  3.39125365e-01 
 2.70905000e-04  7.59913860e-01  3.39198125e-01 
 2.71905000e-04  7.59905435e-01  3.39274499e-01 
 2.72905000e-04  7.59896619e-01  3.39354494e-01 
 2.73905000e-04  7.59887412e-01  3.39438116e-01 
 2.74905000e-04  7.59877815e-01  3.39525374e-01 
 2.75905000e-04  7.59867828e-01  3.39616275e-01 
 2.76905000e-04  7.59857452e-01  3.39710827e-01 
 2.77905000e-04  7.59846686e-01  3.39809039e-01 
 2.78905000e-04  7.59835532e-01  3.39910978e-01 
 2.79905000e-04  7.59823989e-01  3.40016477e-01 
 2.80905000e-04  7.59812059e-01  3.40125717e-01 
 2.81905000e-04  7.59799741e-01  3.40238731e-01 
 2.82905000e-04  7.59787036e-01  3.40355305e-01 
 2.83905000e-04  7.59773945e-01  3.40475664e-01 
 2.84905000e-04  7.59760468e-01  3.40599755e-01 
 2.85905000e-04  7.59746606e-01  3.40727678e-01 
 2.86905000e-04  7.59732359e-01  3.40859166e-01 
 2.87905000e-04  7.59717727e-01  3.40994503e-01 
 2.88905000e-04  7.59702712e-01  3.41133620e-01 
 2.89905000e-04  7.59687314e-01  3.41276523e-01 
 2.90905000e-04  7.59671534e-01  3.41423227e-01 
 2.91905000e-04  7.59655372e-01  3.41573744e-01 
 2.92905000e-04  7.59638828e-01  3.41728226e-01 
 2.93905000e-04  7.59621904e-01  3.41886280e-01 
 2.94905000e-04  7.59604600e-01  3.42048470e-01 
 2.95905000e-04  7.59586917e-01  3.42214398e-01 
 2.96905000e-04  7.59568856e-01  3.42384042e-01 
 2.97905000e-04  7.59550417e-01  3.42557743e-01 
 2.98905000e-04  7.59531601e-01  3.42735369e-01 
 2.99905000e-04  7.59512408e-01  3.42916931e-01 
 3.00905000e-04  7.59492840e-01  3.43102446e-01 
 3.01905000e-04  7.59472897e-01  3.43291933e-01 
 3.02905000e-04  7.59452580e-01  3.43485409e-01 
 3.03905000e-04  7.59431890e-01  3.43683118e-01 
 3.04905000e-04  7.59410828e-01  3.43884412e-01 
 3.05905000e-04  7.59389394e-01  3.44090205e-01 
 3.06905000e-04  7.59367590e-01  3.44299595e-01 
 3.07905000e-04  7.59345415e-01  3.44513561e-01 
 3.08905000e-04  7.59322872e-01  3.44731128e-01 
 3.09905000e-04  7.59299961e-01  3.44953351e-01 
 3.10905000e-04  7.59276682e-01  3.45179180e-01 
 3.11905000e-04  7.59253037e-01  3.45409445e-01 
 3.12905000e-04  7.59229027e-01  3.45644236e-01 
 3.13905000e-04  7.59204653e-01  3.45882625e-01 
 3.14030000e-04  7.59201581e-01  3.45913053e-01 
 3.14280000e-04  7.59195419e-01  3.45973557e-01 
 3.14780000e-04  7.59183027e-01  3.46095218e-01 
 3.15780000e-04  7.59157972e-01  3.46341634e-01 
 3.16780000e-04  7.59132556e-01  3.46592954e-01 
 3.17780000e-04  7.59106779e-01  3.46847891e-01 
 3.18780000e-04  7.59080642e-01  3.47107891e-01 
 3.19780000e-04  7.59054147e-01  3.47371918e-01 
 3.20780000e-04  7.59027295e-01  3.47639916e-01 
 3.21780000e-04  7.59000086e-01  3.47913153e-01 
 3.22780000e-04  7.58972522e-01  3.48190464e-01 
 3.23780000e-04  7.58944604e-01  3.48471788e-01 
 3.24780000e-04  7.58916332e-01  3.48758054e-01 
 3.25780000e-04  7.58887709e-01  3.49049368e-01 
 3.26780000e-04  7.58858734e-01  3.49344803e-01 
 3.27780000e-04  7.58829410e-01  3.49644830e-01 
 3.28780000e-04  7.58799738e-01  3.49949502e-01 
 3.29780000e-04  7.58769718e-01  3.50258850e-01 
 3.30780000e-04  7.58739351e-01  3.50572347e-01 
 3.31780000e-04  7.58708640e-01  3.50891695e-01 
 3.32780000e-04  7.58677585e-01  3.51215303e-01 
 3.33780000e-04  7.58646188e-01  3.51543702e-01 
